名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	授权的用户	授权的计算机	授权的本地主体	本地用户所有者	应用程序包	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\userNetSchedule.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\userNetSchedule.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\SGMedalLoader.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	C:\Users\Public\SogouInput\USBDT\OctopusDownloader.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	C:\Users\Public\SogouInput\USBDT\OctopusDownloader.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	C:\Users\Public\SogouInput\USBDT\OctopusDownloader.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\SGTool.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	C:\Users\Public\SogouInput\USBDT\OctopusDownloader.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	C:\Users\Public\SogouInput\USBDT\OctopusDownloader.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\SGMedalLoader.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\SGMedalLoader.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\SGMedalLoader.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	C:\Users\Public\SogouInput\USBDT\OctopusDownloader.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\SGMedalLoader.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\Components\SogouComMgr.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\PinyinUp.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\PinyinUp.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\PinyinUp.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\SGDownload.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\PinyinUp.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\PinyinUp.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\PinyinUp.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\SGTool.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\SGTool.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\SGTool.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\SGTool.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\SGTool.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\SGTool.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\SGDownload.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\SogouCloud.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\SogouCloud.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\SogouCloud.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\Components\SogouComMgr.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\Components\SogouComMgr.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\Components\SogouComMgr.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		公用	是	允许	否	D:\SogouInput\8.9.0.2130\SogouCloud.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
