名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	授权的用户	授权的计算机	授权的本地主体	本地用户所有者	应用程序包	
maLauncher		所有	是	允许	否	D:\腾讯\Tencent\QQ\Bin\maLauncher.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
maUpdat		公用	是	允许	否	D:\腾讯\Tencent\QQ\Bin\maUpdat.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
maUpdat		公用	是	允许	否	D:\腾讯\Tencent\QQ\Bin\maUpdat.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
maUpdat		所有	是	允许	否	D:\腾讯\Tencent\QQ\Bin\maUpdat.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
Microsoft Lync		公用	是	允许	否	C:\Program Files (x86)\Microsoft Office\root\Office16\Lync.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Microsoft Lync		公用	是	允许	否	C:\Program Files (x86)\Microsoft Office\root\Office16\Lync.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Microsoft Lync UcMapi		公用	是	允许	否	C:\Program Files (x86)\Microsoft Office\root\Office16\UcMapi.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Microsoft Lync UcMapi		公用	是	允许	否	C:\Program Files (x86)\Microsoft Office\root\Office16\UcMapi.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Microsoft Office Outlook		公用	是	允许	否	C:\Program Files (x86)\Microsoft Office\root\Office16\outlook.exe	任何	任何	UDP	6004	任何	任何	任何	任何	任何	任何	
QPUpdate		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\QPUp.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QPUpdate		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\QPUp.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QQExternal		所有	是	允许	否	D:\TxGameAssistant\AppMarket\QQExternal.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
QQExternal		所有	是	允许	否	D:\TxGameAssistant\AppMarket\QQExternal.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
QQPlayer		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\Statistics.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QQPlayer		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\Statistics.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QQPlayer		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\QQPlayer.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QQPlayer		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\QQPlayer.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QQPlayerUpdate		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\QQDeskUpdate.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QQPlayerUpdate		公用	是	允许	否	D:\腾讯\Tencent\QQPlayer\QQDeskUpdate.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QQSetupEX		所有	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\TIM\STemp\SetupEx0\QQSetupEx.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
QQUpdate		所有	是	允许	否	D:\腾讯\Tencent\QQ\Bin\auclt.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
QQ游戏		公用	是	允许	否	D:\腾讯\Tencent\QQGame\Hall.50779\QQGameUpdate.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QQ游戏		公用	是	允许	否	D:\腾讯\Tencent\QQGame\MiniGames\video\QQGameNet.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QQ游戏		公用	是	允许	否	D:\腾讯\Tencent\QQGame\MiniGames\video\QQGameNet.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QQ游戏		公用	是	允许	否	D:\腾讯\Tencent\QQGame\Hall.50779\QQGameUpdate.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QQ游戏		公用	是	允许	否	D:\腾讯\Tencent\QQGame\Hall.50779\QQGame.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QQ游戏		公用	是	允许	否	D:\腾讯\Tencent\QQGame\Hall.50779\QQGame.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QQ游戏		所有	是	允许	否	C:\Users\Public\Documents\Tencent\QQGameMicro\QQGameMicro.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
QT语音		专用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\QTalk.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QT语音		专用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\QTalk.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QT语音		公用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\QTalk.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
QT语音		公用	是	允许	否	G:\WeGame\英雄联盟\Cross\Apps\LCULQT\GamePlus\Bin\QTalk.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QzoneMusic		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMusic\QzoneMusic\QzoneMusic.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
QzoneMusic		公用	是	允许	否	C:\Program Files (x86)\Tencent\QQMusic\QzoneMusic\QzoneMusic.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Service Client		公用	是	允许	否	C:\program files (x86)\sangfor\ssl\sangforserviceclient\sangforserviceclient.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Service Client		公用	是	允许	否	C:\program files (x86)\sangfor\ssl\sangforserviceclient\sangforserviceclient.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
ShadowsocksR		专用	是	允许	否	G:\安装器\科学上网\ssr-win\shadowsocksr-dotnet4.0.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
ShadowsocksR		公用	是	允许	否	G:\安装器\shadowsocksr-win-4.8.0\shadowsocksr-dotnet4.0.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
ShadowsocksR		公用	是	允许	否	G:\安装器\shadowsocksr-win-4.8.0\shadowsocksr-dotnet4.0.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
ShadowsocksR		专用	是	允许	否	G:\安装器\科学上网\ssr-win\shadowsocksr-dotnet4.0.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\SGMedalLoader.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\userNetSchedule.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\userNetSchedule.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\Components\SogouComMgr.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\Components\SogouComMgr.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		专用	是	允许	否	D:\SogouInput\8.9.0.2130\userNetSchedule.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Sogou Pinyin Service		域	是	允许	否	D:\SogouInput\8.9.0.2130\userNetSchedule.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
